[2024-07-06 20:10:04] | [C:\xampp\htdocs\trabajos\LibroTemas\pagina\php\individual_data\fill-table-ver-topic.php:69] | No hay cursos registrados
[2024-07-06 20:10:19] | [C:\xampp\htdocs\trabajos\LibroTemas\pagina\php\individual_data\fill-table-ver-topic.php:69] | No hay cursos registrados
[2024-07-06 20:17:33] | [C:\xampp\htdocs\trabajos\LibroTemas\pagina\php\individual_data\fill-table-ver-topic.php:69] | No hay cursos registrados
[2024-07-06 20:18:24] | [C:\xampp\htdocs\trabajos\LibroTemas\pagina\php\individual_data\fill-table-ver-topic.php:69] | No hay cursos registrados
[2024-07-06 20:18:26] | [C:\xampp\htdocs\trabajos\LibroTemas\pagina\php\individual_data\fill-table-ver-topic.php:69] | No hay cursos registrados
[2024-07-06 20:21:49] | [C:\xampp\htdocs\trabajos\LibroTemas\pagina\php\individual_data\fill-table-ver-topic.php:69] | No hay cursos registrados
[2024-07-08 18:03:56] | [C:\xampp\htdocs\trabajos\LibroTemas\pagina\php\individual_data\get-datos-tema.php:69] | No hay cursos registrados
[2024-07-10 01:42:06] | [C:\xampp\htdocs\prog\300hs_laborales\LibroTemas\pagina\php\course\get-courses-filter.php:149] | No topics found
[2024-07-10 01:42:14] | [C:\xampp\htdocs\prog\300hs_laborales\LibroTemas\pagina\php\course\get-courses-filter.php:149] | No topics found
[2024-07-10 01:42:19] | [C:\xampp\htdocs\prog\300hs_laborales\LibroTemas\pagina\php\course\get-courses-filter.php:149] | No topics found
[2024-07-10 01:42:22] | [C:\xampp\htdocs\prog\300hs_laborales\LibroTemas\pagina\php\course\get-courses-filter.php:149] | No topics found
[2024-07-10 01:42:36] | [C:\xampp\htdocs\prog\300hs_laborales\LibroTemas\pagina\php\course\get-courses-filter.php:149] | No topics found
[2024-07-10 01:42:47] | [C:\xampp\htdocs\prog\300hs_laborales\LibroTemas\pagina\php\course\get-courses-filter.php:149] | No topics found
[2024-07-10 01:43:03] | [C:\xampp\htdocs\prog\300hs_laborales\LibroTemas\pagina\php\course\get-courses-filter.php:149] | No topics found
[2024-07-10 01:43:54] | [C:\xampp\htdocs\prog\300hs_laborales\LibroTemas\pagina\php\course\get-courses-filter.php:149] | No topics found
[2024-07-10 01:43:58] | [C:\xampp\htdocs\prog\300hs_laborales\LibroTemas\pagina\php\course\get-courses-filter.php:149] | No topics found
[2024-07-12 15:38:24] | [C:\xampp\htdocs\trabajos\LibroTemas\pagina\php\topic\get-topics-filter.php:188] | No topics found
[2024-07-12 15:38:34] | [C:\xampp\htdocs\trabajos\LibroTemas\pagina\php\topic\get-topics-filter.php:188] | No topics found
[2024-07-12 15:39:04] | [C:\xampp\htdocs\trabajos\LibroTemas\pagina\php\topic\get-topics-filter.php:188] | No topics found
[2024-07-12 15:40:58] | [C:\xampp\htdocs\trabajos\LibroTemas\pagina\php\topic\get-topics-filter.php:188] | No topics found
[2024-07-13 23:13:58] | [C:\xampp\htdocs\prog\300hs_laborales\LibroTemas\pagina\php\topic\get-topics-filter.php:188] | No topics found
[2024-07-13 23:15:04] | [C:\xampp\htdocs\prog\300hs_laborales\LibroTemas\pagina\php\topic\get-topics-filter.php:188] | No topics found[2024-07-14 04:08:16] | [C:\xampp\htdocs\trabajos\LibroTemas\pagina\php\topic\get-topics-filter.php:188] | No topics found
[2024-07-14 04:20:25] | [C:\xampp\htdocs\trabajos\LibroTemas\pagina\php\individual_data\get-turnos.php:68] | No hay turnos registrados con esos datos
[2024-07-14 04:21:49] | [C:\xampp\htdocs\trabajos\LibroTemas\pagina\php\individual_data\get-turnos.php:68] | No hay turnos registrados con esos datos
